order,url
1,"https://developers.facebook.com/?ref=pf"
2,"https://facebook.com/#"
3,"https://facebook.com/#"
4,"https://facebook.com/#"
5,"https://facebook.com/#"
6,"https://facebook.com/#"
7,"https://facebook.com/#"
8,"https://facebook.com/#"
9,"https://facebook.com/recover/initiate/?privacy_mutation_token=eyJ0eXBlIjo1LCJjcmVhdGlvbl90aW1lIjoxNzkwMDUwMjEzfQ%3D%3D&ars=facebook_login"
10,"https://facebook.com/reg/?entry_point=login"
11,"https://l.facebook.com/l.php?u=https%3A%2F%2Fabout.meta.com%2Ftechnologies%2Fmeta-pay&h=AUBXVnoo_Rb-iAO9fb1oOvmy-_RVnAtqv8EGAtA1yUqgtp3W9FqwveaaXBzMlg0zpr8zOqPknXfRhSAT2ZpXRvNMz0YIWyKJx9oyPdkC8G1xR7jx1agNROub7c0y9uvIhidglAeqYecRK8GH"
12,"https://l.facebook.com/l.php?u=https%3A%2F%2Fmessenger.com%2F&h=AUBXVnoo_Rb-iAO9fb1oOvmy-_RVnAtqv8EGAtA1yUqgtp3W9FqwveaaXBzMlg0zpr8zOqPknXfRhSAT2ZpXRvNMz0YIWyKJx9oyPdkC8G1xR7jx1agNROub7c0y9uvIhidglAeqYecRK8GH"
13,"https://l.facebook.com/l.php?u=https%3A%2F%2Fmuse.ai%2F&h=AUBXVnoo_Rb-iAO9fb1oOvmy-_RVnAtqv8EGAtA1yUqgtp3W9FqwveaaXBzMlg0zpr8zOqPknXfRhSAT2ZpXRvNMz0YIWyKJx9oyPdkC8G1xR7jx1agNROub7c0y9uvIhidglAeqYecRK8GH"
14,"https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.instagram.com%2F&h=AUBXVnoo_Rb-iAO9fb1oOvmy-_RVnAtqv8EGAtA1yUqgtp3W9FqwveaaXBzMlg0zpr8zOqPknXfRhSAT2ZpXRvNMz0YIWyKJx9oyPdkC8G1xR7jx1agNROub7c0y9uvIhidglAeqYecRK8GH"
15,"https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.meta.ai%2F&h=AUBXVnoo_Rb-iAO9fb1oOvmy-_RVnAtqv8EGAtA1yUqgtp3W9FqwveaaXBzMlg0zpr8zOqPknXfRhSAT2ZpXRvNMz0YIWyKJx9oyPdkC8G1xR7jx1agNROub7c0y9uvIhidglAeqYecRK8GH"
16,"https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.meta.com%2F&h=AUBXVnoo_Rb-iAO9fb1oOvmy-_RVnAtqv8EGAtA1yUqgtp3W9FqwveaaXBzMlg0zpr8zOqPknXfRhSAT2ZpXRvNMz0YIWyKJx9oyPdkC8G1xR7jx1agNROub7c0y9uvIhidglAeqYecRK8GH"
17,"https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.meta.com%2Fai-glasses%2Fray-ban-meta%2F&h=AUBXVnoo_Rb-iAO9fb1oOvmy-_RVnAtqv8EGAtA1yUqgtp3W9FqwveaaXBzMlg0zpr8zOqPknXfRhSAT2ZpXRvNMz0YIWyKJx9oyPdkC8G1xR7jx1agNROub7c0y9uvIhidglAeqYecRK8GH"
18,"https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.meta.com%2Fquest%2F&h=AUBXVnoo_Rb-iAO9fb1oOvmy-_RVnAtqv8EGAtA1yUqgtp3W9FqwveaaXBzMlg0zpr8zOqPknXfRhSAT2ZpXRvNMz0YIWyKJx9oyPdkC8G1xR7jx1agNROub7c0y9uvIhidglAeqYecRK8GH"
19,"https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.threads.com%2F&h=AUBXVnoo_Rb-iAO9fb1oOvmy-_RVnAtqv8EGAtA1yUqgtp3W9FqwveaaXBzMlg0zpr8zOqPknXfRhSAT2ZpXRvNMz0YIWyKJx9oyPdkC8G1xR7jx1agNROub7c0y9uvIhidglAeqYecRK8GH"
20,"https://www.facebook.com/about/"
21,"https://www.facebook.com/ad_campaign/landing.php?placement=pflo&campaign_id=402047449186&nav_source=unknown&extra_1=auto"
22,"https://www.facebook.com/careers/?ref=pf"
23,"https://www.facebook.com/help/568137493302217"
24,"https://www.facebook.com/help/637205020878504"
25,"https://www.facebook.com/help/?ref=pf"
26,"https://www.facebook.com/lite/"
27,"https://www.facebook.com/login/"
28,"https://www.facebook.com/pages/create/?ref_type=site_footer"
29,"https://www.facebook.com/policies/cookies/"
30,"https://www.facebook.com/policies?ref=pf"
31,"https://www.facebook.com/privacy/center/?entry_point=facebook_page_footer"
32,"https://www.facebook.com/privacy/policy/?entry_point=facebook_page_footer"
33,"https://www.facebook.com/reg/"
34,"https://www.facebook.com/watch/"
